c_feeder_name,H-1 - Apr'24 - Sep'24,H-2- Oct'24 - Mar'25,H-1- Apr'25 - Sept'25 
035-SHYAMTHAIBARI 11 KV,37.000990084537186,16.03051897773429,21.30514464071802
035-DADGARI 11 KV,35.41405347604466,23.546288476531995,36.6250483975709
035-BHIRENGAON 11 KV,40.26458593551878,23.563759900079194,33.53762786648537
035-POPRAGAON 11 KV,20.234682172396433,20.85217276145417,26.293885060154665
035-DOMGAON 11 KV,-14.099213485173955,17.673355834367488,10.615911004651801
035-SANTIPUR 11 KV,,,
overall,30.59660067285871,21.224596254269123,28.403335594455204
